NDB_No,Shrt_Desc,Energ_Kcal,GmWt_1,GmWt_Desc1
3689,BABYFOOD CRL OATMEAL PREP W/WHL MILK,116,28.35,1 oz
3693,BABYFOOD CRL OATMEAL W/HONEY PREP W/WHL MILK,115,28.35,1 oz
3696,BABYFOOD CRL RICE W/HONEY PREP W/WHL MILK,115,28.35,1 oz
3704,BABYFOOD CRL MXD W/HONEY PREP W/WHL MILK,115,28.35,1 oz
5071,CHICKEN BROILERS OR FRYERS DK MEAT DRUMSTK MEAT ONLY RAW,116,130,1 drumstick   with skin
5309,CHICKEN CORNISH GAME HENS MEAT ONLY RAW,116,85,3 oz
5600,USDA COMMODITY TURKEY HAM DK MEAT SMOKED FRZ,118,28.35,1 oz
5643,OSTRICH FAN RAW,117,85,1 serving   ( cooked from 4oz raw)
5648,OSTRICH OUTSIDE LEG RAW,115,85,1 serving   (cooked from 4 oz raw)
5653,OSTRICH RND RAW,116,85,1 serving   (cooked from 4 oz raw)
5694,TURKEY DK MEAT FROM WHL MEAT ONLY W/ ADDED SOLN RAW,115,114,4 oz
5716,TURKEY RTL PARTS DRUMSTK MEAT ONLY RAW,118,85,3 oz
5717,TURKEY RTL PARTS THIGH MEAT ONLY RAW,116,85,3 oz
5719,TURKEY BACK FROM WHL BIRD MEAT ONLY W/ ADDED SOLN RAW,115,114,4 oz
5724,TURKEY DRUMSTK FROM WHL BIRD MEAT ONLY W/ ADDED SOLN RAW,115,114,4 oz
5726,TURKEY THIGH FROM WHL BIRD MEAT ONLY W/ ADDED SOLN RAW,115,85,3 oz
6026,SOUP CHILI BF CND COND,117,263,1 cup   (8 fl oz)
6731,SOUP BEAN W/BACON COND SINGLE BRAND,117,128,1 serving  1/2 cup
7043,ROAST BF DELI STYLE PREPACKAGED SLICED,115,9.3,1 slice  oval
9193,OLIVES RIPE CND (SMALL-EXTRA LRG),115,8.4,1 tbsp
9278,PLANTAINS COOKED,116,200,1 cup  mashed
9310,RHUBARB FRZ CKD W/SUGAR,116,240,1 cup
10103,PORK FRSH VAR MEATS&BY-PRODUCTS HEART RAW,118,28.35,1 oz
10854,HORMEL ALWAYS TENDER PORK LOIN FILETS LEMON GARLIC-FLAVORED,118,28,1 oz
10872,PORK CURED HAM & H2O PRODUCT WHL BNLESS LN UNHTD,116,85,3 oz
10879,PORK CURED HAM -- H2O ADDED WHL BNLESS LN HTD RSTD,117,85,3 oz
10882,PORK CURED HAM W/ NAT JUICES SLICE BNLESS LN HTD PAN-BROIL,116,85,1 serving   (3 oz)
10905,PORK CURED HAM & H2O PRODUCT WHL BNLESS LN & FAT UNHTD,117,28.35,1 oz  whole
10943,PORK FRSH LOIN TNDERLN LN W/ ADDED SLN CKD RSTD,116,85,3 oz
10948,PORK FRSH LN TOP LIN (CHOPS) BNLSS LN W/ ADDED SLN RAW,117,114,4 oz
